Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,42,A-1,LOCKERS,LOCKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,43,A-2,LOCKERS,LOCKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,44,A-3,AE5. E363 2007,AI9.15 J RG.44:HLB.2:,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,629,A-4,AI9.15 J RG.44:HLB.2:,D9. D56 2000,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,45,A-5,D11. C57 1997,F3404. D53 1986 V.8,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,46,A-6,F3404. D53 1986 V.9,NK1390. B93 2004,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,47,A-7,NK3634. A2 Z466,PR737. C57 1999,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,48,A-8,PR756. H57 C66 2005,Z881. A1 C28 V.709,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,49,A-9,Z881. A1 C28 V.710,ZA5050. M67 2004,Eisenhower A Level General Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,50,A-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,51,A-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,52,A-12,AC1. G7 V.1,AC150. W75 1979,Eisenhower General Collection,AC5. S635 1972  QUARTO,AC5. S635 1972  QUARTO,Eisenhower General Collection,AE1. C6 1964,AE27. B88 1966  BD.10  KAT-KZ,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,53,A-13,AE27. B88 1966  BD.11,AE61. D5 1995,Eisenhower General Collection,AE1. S54 2009  QUARTO,AE25. L32 1982  V.17 PT.3 QUARTO,Eisenhower General Collection,AE35. G718 1997  NUOVA EUROPA,AE35. G718 1997  NUOVA EUROPA,Eisenhower General Collection,AG5. N49 1999,AG250. M33 2012,Eisenhower General Collection,AG5. C26 1997  QUARTO,AG61. G75 1994  QUARTO,Eisenhower General Collection,AI3. A29,AI21. T5 1971  NOV. DEC.,Eisenhower General Collection,AI3. C23 1967  QUARTO,AI21. J45 SUPPL. QUARTO,Eisenhower General Collection,AM1. D16 NO.2,AM401. Y25 S23  2014,Eisenhower General Collection,AM3. I54 2014  QUARTO,AM401. P83 M37  2007  QUARTO,Eisenhower General Collection,AP2. A2 I4  1963,AP101. P8 L43  2010,Eisenhower General Collection,AP2. A2 S68 GUIDE 1732 QUARTO,AP50. O4 QUARTO,Eisenhower General Collection,AS2.5 I581 1995,AS142. V317 BD.134,Eisenhower General Collection
1,13,54,A-14,AS142. V317 BD.136,AS935. E54 2005,Eisenhower General Collection,AS8. C631 1977 QUARTO,AS302. M74 Z29 1999 QUARTO,Eisenhower General Collection,AY13. A2 J36 2011,AY1144. S651 1992,Eisenhower General Collection,AZ101. B34 2002,AZ999. M2 1996,Eisenhower General Collection,AZ182. D54 2011X QUARTO,AZ195. S86 2015 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,
1,14,55,A-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,56,A-16,K1. A4,K5. N85 V.24,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,58,A-17,K5. N85 V.25,K349. R63 1998,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,59,A-18,K349. S296 2006,K588. H88 2005,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,60,A-19,K588. K37 2002,KA3201. M3 2001 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,61,A-20,KA3201. M3 2001 V.3,KDK104. K98 L43,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,62,A-21,KDK141. B74 2005,KF101. A313 V.119,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,63,A-22,KF101.6 B571 1983,KF1345. R48 2001,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,64,A-23,KF1355. B59 2001,KF4783. A7 R451 1993,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,65,A-24,KF4783. A971 1990,KJC147. L38 2008,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,66,A-25,KJC147. Y68 1998,KZD3489. G36 2009,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
