Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,
1,0,105,B-1,B1. A1 T5 V.9-10 INDEX V.1-10,B223. H45 1980,Eisenhower General Collection,,,,,,,,,
1,1,106,B-2,B223. K48 2010,B783. A35 O73 2002 V.2,Eisenhower General Collection,,,,,,,,,
1,2,107,B-3,B783. A4 E5 1998,B945. C53 L4 1994,Eisenhower General Collection,,,,,,,,,
1,3,108,B-4,B945. C54 H64 1975,B1809. B62 K63 2008,Eisenhower General Collection,,,,,,,,,
1,4,109,B-5,B1809. H8 T64 1998,B2430. N363 E75 2012,Eisenhower General Collection,,,,,,,,,
1,5,110,B-6,B2430. N363.E8713 2000,B2799. S3 A3 1924 V.2,Eisenhower General Collection,,,,,,,,,
1,6,111,B-7,B2799. S3 D76 1943,B3279. H48 K63 1989,Eisenhower General Collection,,,,,,,,,
1,7,112,B-8,B3279. H48 L45 2009,B3376. W564 W74 1982,Eisenhower General Collection,,,,,,,,,
1,8,113,B-9,B3376. W65 P5 1927,BC177. F565 2005,Eisenhower General Collection,B1. C33 V.8-9 QUARTO,B5131. D48 2007 QUARTO,Eisenhower General Collection,B765. T5 1882 V.10 FOLIO,B3312. A2 1967 ABT.9 BD.10 FOLIO,Eisenhower General Collection,,,
1,9,114,B-10,BC177. F57 2004,BD995. L654 M37 2001,Eisenhower General Collection,BC57. S77 1994 QUARTO,BD632. L49 2012 QUARTO,Eisenhower General Collection,,,,,,
1,10,115,B-11,BH19. A46 1990,BL31. M295 1993,Eisenhower General Collection,BH39. C3 1962 QUARTO,BJ1533. K5 S7 2004 QUARTO,Eisenhower General Collection,,,,,,
1,11,116,B-12,BL31. M3 1921,BL1853. C66 2004,Eisenhower General Collection,,,,,,,,,
1,12,117,B-13,BL1853. C66 2011 V.1,BM526. S35 1987,Eisenhower General Collection,BL25. F4 1966 QUARTO,BL2705. E531 1985 V.2 QUARTO,Eisenhower General Collection,BL785. N44 2003 FOLIO,BL785. N44 2003 FOLIO,Eisenhower General Collection,,,
