Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,274,C-1,BF1. A186 2001 V.35,BF173. A2 I5 1965 V.46,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,275,C-2,BF173. A2 I5 1966 V.47,BF311. M574 1996,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,276,C-3,BF311. M59,BF575. M44 N38,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,277,C-4,BF575. M44 O76,BF723. T53 K75,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,278,C-5,BF723. T53 S781 1986,BF3317. F537 2003,Eisenhower General Collection,BF39. H2644 2006 QUARTO,BF1812. A352 I57 2000 QUARTO,Eisenhower General Collection,GB10. E531 1985,GB651. N6 2011 V.42,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,279,C-6,GB651. S35 1984-85 V.46-47,GB5018. M34 2005,Eisenhower General Collection,GB54.5 F861 1990 QUARTO,GB5014. S34 2002 QUARTO,Eisenhower General Collection,GC1. A32 1975 V.13,GC1580. T76 1975,Eisenhower General Collection,GC1. U2 1955 QUARTO,GC439. R8 1982 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,280,C-7,GC461. A5 1971 V.1 QUARTO,GC1085. O5 1985 QUARTO,Eisenhower General Collection,GE1. B67 2005,GE350. K36 2004,Eisenhower General Collection,GE30. K38 1997 QUARTO,GE140. L951 1994 QUARTO,Eisenhower General Collection,Q1. A106 1966 V.6 INDEX: 1-6,Q1. S39 1988 V.240 NO.4855-4860,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,281,C-8,Q1. S39 V.241 NO.4861-4867,Q11. N55 V.167,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,282,C-9,Q11. N55 V.168,Q113. G6 ABT.2 BD.7,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,283,C-10,Q113. G6 ABT.2 BD.8,Q162. N438 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,447,C-11,Q162. P37,Q183.9 I33 2005,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,448,C-12,Q183.9 I34 2002,Q387.3 D47 2007,Eisenhower General Collection,Q1. A1 Z9 L38 1968 QUARTO,Q334. N37 1986 V.1 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,284,C-13,Q334. N37 1986 V.2 QUARTO,Q387. P751 1992 QUARTO,Eisenhower General Collection,Q183.3 A1 A788 2001 FOLIO,Q183.3 A1 A788 2001 FOLIO,Eisenhower General Collection,QA1. A1412 2006 V.22 PT.1-2,QA1. J88 1996 V.96-97,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,285,C-14,QA1. J9767 V.24,QA1. Z56 V.700 PT.7,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,286,C-15,QA1. Z56 V.710 PT.1,QA9.45 B651 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,287,C-16,QA9.45 C54,QA76.59 Z55,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,288,C-17,QA76.591 5.Z48,QA76.758 Y68,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
