Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,449,D-1,P1. A1. T7 V.1,P325. J3 1972,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,450,D-2,P325. K35 1972,P2771. C647 1993,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,451,D-3,P2771. C68 1982,P4039. W54 1982,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,452,D-4,P4041. A57 B37 1993,P8114. S68 M37 1964,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,453,D-5,P8120. A4 M42 1939,P8790. J33 N35 1989,Eisenhower General Collection,P25. O32 NO.3 QUARTO,P8767. M36 V52 1991 QUARTO,Eisenhower General Collection,P3994. T4 1927 FOLIO,P3994. T4 1927 FOLIO,Eisenhower General Collection,PA1. A45 V.13-15 1983-85,PA8201. H4 1964,Eisenhower General Collection,PA1. L66 NO.53 QUARTO,PA2893. P6 P6 1953 QUARTO,Eisenhower General Collection,PA315. R5 O4 R6 FOLIO,PA315. R5 O4 R6 FOLIO,Eisenhower General Collection,PB27. L46 1989,PB1075. R4 K26 1962,Eisenhower General Collection,,,,,,,,,,,,,,,,,,
2,4,454,D-6,PB1075. R4 P7 1896 V.2,PB2054. W63 P313 1985,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,455,D-7,PB2054.5 S42,PB3660. A83 B3 1993,Eisenhower General Collection,PB58. M64 1995 QUARTO,PB2390. P7 M27 1992 V.2 QUARTO,Eisenhower General Collection,PC3. Z5 INDEX BD.62/65 1942/1949,PC1104. P5 F5 1871 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,456,D-8,PC1104. P5 S4,PC2055. O8 L6 1936,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,457,D-9,PC2055. P48 D513 1969,PC5396. T8 Y24 1991 SUPPL. V.1,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,458,D-10,PC5399. C5 C5 1993,PC5535. L3 C29 1992,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
